id_curriculo_componente;id_curriculo;id_componente_curricular;tipo_vinculo_componente;semestre_oferta
115629599;105755388;61099;OPTATIVO;0
123540297;105755388;25561;OPTATIVO;0
105757379;105755388;55047;OPTATIVO;0
112439165;105755388;55038;OPTATIVO;0
105759130;105755388;23558;OPTATIVO;0
112439167;105755388;52672;OPTATIVO;0
105757386;105755388;52796;OPTATIVO;0
115629592;105755388;61120;OPTATIVO;0
121664483;105755388;63935;OPTATIVO;0
105755439;105755388;55028;OBRIGATÓRIO;4
105757357;105755388;52683;OPTATIVO;0
115629591;105755388;61119;OPTATIVO;0
105757375;105755388;55044;OPTATIVO;0
105757365;105755388;52686;OPTATIVO;0
112439169;105755388;55084;OPTATIVO;0
105757371;105755388;55041;OPTATIVO;0
105755409;105755388;2054932;OPTATIVO;0
105755428;105755388;52665;OBRIGATÓRIO;2
115629583;105755388;61085;OPTATIVO;0
115628202;105755388;61132;OPTATIVO;0
105755415;105755388;2054955;OPTATIVO;0
105755424;105755388;52650;OBRIGATÓRIO;2
115629586;105755388;61093;OPTATIVO;0
105755444;105755388;52866;OBRIGATÓRIO;5
105757388;105755388;55036;OPTATIVO;0
105757352;105755388;55045;OPTATIVO;0
115815020;105755388;2054929;OPTATIVO;0
105759135;105755388;55370;OPTATIVO;0
105755390;105755388;26915;OPTATIVO;0
105757391;105755388;52996;OPTATIVO;0
105759844;105755388;21705;OPTATIVO;0
105755410;105755388;2054950;OPTATIVO;0
105755391;105755388;26916;OPTATIVO;0
105759843;105755388;26930;OPTATIVO;0
105755433;105755388;55029;OBRIGATÓRIO;3
105759145;105755388;26934;OPTATIVO;0
115629608;105755388;61108;OPTATIVO;0
111412616;105755388;57806;OPTATIVO;0
111412617;105755388;57807;OPTATIVO;0
115629588;105755388;61116;OPTATIVO;0
121428139;105755388;2054925;OPTATIVO;0
105755429;105755388;55023;OBRIGATÓRIO;3
105755425;105755388;52662;OBRIGATÓRIO;2
105757355;105755388;52693;OPTATIVO;0
115629585;105755388;61087;OPTATIVO;0
115629595;105755388;61095;OPTATIVO;0
105757383;105755388;52682;OPTATIVO;0
119252318;105755388;2054915;OPTATIVO;0
115629577;105755388;61112;OPTATIVO;0
105755403;105755388;2054918;OPTATIVO;0
105755431;105755388;52664;OBRIGATÓRIO;3
115629594;105755388;61122;OPTATIVO;0
105755443;105755388;52867;OBRIGATÓRIO;5
105757364;105755388;55054;OPTATIVO;0
105757381;105755388;55095;OPTATIVO;0
105755441;105755388;2054910;OBRIGATÓRIO;5
119242747;105755388;51457;OPTATIVO;0
105757389;105755388;55053;OPTATIVO;0
115629606;105755388;61106;OPTATIVO;0
121664480;105755388;63933;OPTATIVO;0
105757347;105755388;52995;OPTATIVO;0
105755442;105755388;2054911;OBRIGATÓRIO;5
105759131;105755388;52990;OPTATIVO;0
105755437;105755388;55027;OBRIGATÓRIO;4
111412622;105755388;59735;OPTATIVO;0
113235835;105755388;53193;OPTATIVO;0
105755419;105755388;55051;OPTATIVO;0
115629607;105755388;61107;OPTATIVO;0
105755401;105755388;25764;OPTATIVO;0
115629574;105755388;61109;OPTATIVO;0
115629601;105755388;61101;OPTATIVO;0
105755430;105755388;55024;OBRIGATÓRIO;3
118878823;105755388;62887;OPTATIVO;0
105755408;105755388;2054931;OPTATIVO;0
119356669;105755388;62382;OPTATIVO;0
115629605;105755388;61105;OPTATIVO;0
105755389;105755388;2041507;OPTATIVO;0
125078226;105755388;55061;OPTATIVO;0
105757368;105755388;52698;OPTATIVO;0
105757390;105755388;52702;OPTATIVO;0
105755402;105755388;21717;OPTATIVO;0
115629572;105755388;61129;OPTATIVO;0
105755394;105755388;26919;OPTATIVO;0
105757392;105755388;55049;OPTATIVO;0
115629603;105755388;61103;OPTATIVO;0
105757380;105755388;55094;OPTATIVO;0
119252320;105755388;2054921;OPTATIVO;0
105755406;105755388;2054928;OPTATIVO;0
115629590;105755388;61118;OPTATIVO;0
111412623;105755388;59736;OPTATIVO;0
105755448;105755388;55369;OBRIGATÓRIO;6
105757356;105755388;52680;OPTATIVO;0
105759133;105755388;21787;OPTATIVO;0
105757354;105755388;52794;OPTATIVO;0
121664479;105755388;63932;OPTATIVO;0
105759138;105755388;21783;OPTATIVO;0
115629575;105755388;61110;OPTATIVO;0
125078227;105755388;55062;OPTATIVO;0
125078228;105755388;65101;OPTATIVO;0
105757373;105755388;52691;OPTATIVO;0
112439163;105755388;55085;OPTATIVO;0
105755397;105755388;26922;OPTATIVO;0
111412624;105755388;59737;OPTATIVO;0
105757360;105755388;55059;OPTATIVO;0
121664484;105755388;63936;OPTATIVO;0
105755426;105755388;55021;OBRIGATÓRIO;2
115629576;105755388;61111;OPTATIVO;0
115629584;105755388;61086;OPTATIVO;0
115629579;105755388;61114;OPTATIVO;0
105757367;105755388;52673;OPTATIVO;0
105757346;105755388;55046;OPTATIVO;0
105757362;105755388;55055;OPTATIVO;0
105755405;105755388;2054924;OPTATIVO;0
105755412;105755388;2054952;OPTATIVO;0
105757361;105755388;52685;OPTATIVO;0
105757366;105755388;52688;OPTATIVO;0
115629604;105755388;61104;OPTATIVO;0
105755422;105755388;55031;OBRIGATÓRIO;1
105759139;105755388;52974;OPTATIVO;0
105759144;105755388;52973;OPTATIVO;0
105755447;105755388;52870;OBRIGATÓRIO;6
105755416;105755388;2054956;OPTATIVO;0
105755414;105755388;2054954;OPTATIVO;0
105755417;105755388;52811;OPTATIVO;0
105755427;105755388;55022;OBRIGATÓRIO;2
105755450;105755388;2054914;OBRIGATÓRIO;7
111412620;105755388;59738;OPTATIVO;0
105755434;105755388;2054906;OBRIGATÓRIO;4
105755449;105755388;2054957;OBRIGATÓRIO;7
105755446;105755388;42157;OBRIGATÓRIO;6
105757387;105755388;52694;OPTATIVO;0
119252319;105755388;2054917;OPTATIVO;0
112439168;105755388;55043;OPTATIVO;0
105755392;105755388;26917;OPTATIVO;0
105755413;105755388;2054953;OPTATIVO;0
105759140;105755388;52975;OPTATIVO;0
105757350;105755388;55052;OPTATIVO;0
115629580;105755388;61115;OPTATIVO;0
105757363;105755388;55056;OPTATIVO;0
121664481;105755388;63937;OPTATIVO;0
105755423;105755388;55082;OBRIGATÓRIO;1
118878822;105755388;62888;OPTATIVO;0
105757385;105755388;52687;OPTATIVO;0
115629596;105755388;61096;OPTATIVO;0
115629598;105755388;61098;OPTATIVO;0
115629587;105755388;61094;OPTATIVO;0
105755396;105755388;26921;OPTATIVO;0
113235833;105755388;43193;OPTATIVO;0
112439164;105755388;52792;OPTATIVO;0
105755393;105755388;26918;OPTATIVO;0
113235834;105755388;26528;OPTATIVO;0
111412621;105755388;59734;OPTATIVO;0
119658250;105755388;21764;OPTATIVO;0
125292892;105755388;55940;OPTATIVO;0
115629593;105755388;61121;OPTATIVO;0
105759151;105755388;23553;OPTATIVO;0
105755440;105755388;2054904;OBRIGATÓRIO;5
105759136;105755388;40134;OPTATIVO;0
111412625;105755388;59739;OPTATIVO;0
121664482;105755388;63934;OPTATIVO;0
105755438;105755388;55030;OBRIGATÓRIO;4
119252321;105755388;2054922;OPTATIVO;0
105755400;105755388;26931;OPTATIVO;0
105757349;105755388;55040;OPTATIVO;0
111412618;105755388;59732;OPTATIVO;0
105755420;105755388;55019;OBRIGATÓRIO;1
105755398;105755388;26923;OPTATIVO;0
105757378;105755388;52795;OPTATIVO;0
105755435;105755388;2054912;OBRIGATÓRIO;4
113235836;105755388;59634;OPTATIVO;0
