id_turma;discente;media_final;numero_total_faltas;descricao
1228364;00451143ff85cced810a59ae7dcc61e6;;;EXCLUIDA
1228364;00451143ff85cced810a59ae7dcc61e6;;;TRANCADO
1228364;0188fee9f69676d5d450513676ffa20f;;;EXCLUIDA
1228364;0188fee9f69676d5d450513676ffa20f;;;INDEFERIDO
1228364;09c576ebed33d3a813eabe6d34f29efc;7.60;0;APROVADO
1228364;09c576ebed33d3a813eabe6d34f29efc;7.60;0;APROVADO
1228364;09c576ebed33d3a813eabe6d34f29efc;7.60;0;APROVADO
1228364;09c576ebed33d3a813eabe6d34f29efc;;;EXCLUIDA
1228364;16bcf9f32c941fa63a6b0ae2cb03fdcf;8.30;8;APROVADO
1228364;16bcf9f32c941fa63a6b0ae2cb03fdcf;8.30;8;APROVADO
1228364;16bcf9f32c941fa63a6b0ae2cb03fdcf;8.30;8;APROVADO
1228364;16bcf9f32c941fa63a6b0ae2cb03fdcf;;;EXCLUIDA
1228364;1769378784613a7f89344897979d8d68;7.20;6;APROVADO
1228364;1769378784613a7f89344897979d8d68;7.20;6;APROVADO
1228364;1769378784613a7f89344897979d8d68;7.20;6;APROVADO
1228364;1769378784613a7f89344897979d8d68;;;EXCLUIDA
1228364;1b723ea570ff87651bed3b7039f4db06;10.00;4;APROVADO
1228364;1b723ea570ff87651bed3b7039f4db06;10.00;4;APROVADO
1228364;1b723ea570ff87651bed3b7039f4db06;10.00;4;APROVADO
1228364;1b723ea570ff87651bed3b7039f4db06;;;EXCLUIDA
1228364;23098723b9dcb1e7ec6616f6b25a4da7;7.00;0;APROVADO
1228364;23098723b9dcb1e7ec6616f6b25a4da7;7.00;0;APROVADO
1228364;23098723b9dcb1e7ec6616f6b25a4da7;7.00;0;APROVADO
1228364;23098723b9dcb1e7ec6616f6b25a4da7;;;EXCLUIDA
1228364;28c0e9e6c48ca6165c60255e6707f21e;6.30;12;APROVADO POR NOTA
1228364;28c0e9e6c48ca6165c60255e6707f21e;6.30;12;APROVADO POR NOTA
1228364;28c0e9e6c48ca6165c60255e6707f21e;6.30;12;APROVADO POR NOTA
1228364;28c0e9e6c48ca6165c60255e6707f21e;;;EXCLUIDA
1228364;28c0e9e6c48ca6165c60255e6707f21e;;;INDEFERIDO
1228364;2b19bf05f8ce4bc5814bd05d1b4cab36;7.70;12;APROVADO
1228364;2b19bf05f8ce4bc5814bd05d1b4cab36;7.70;12;APROVADO
1228364;2b19bf05f8ce4bc5814bd05d1b4cab36;7.70;12;APROVADO
