id_turma;discente;id_curso;media_final;numero_total_faltas;descricao
57583776;f47ace7fbb22012f488f24b9a2593db9;92127264;6.70;6;APROVADO POR NOTA
57583776;f47ace7fbb22012f488f24b9a2593db9;92127264;6.70;6;APROVADO POR NOTA
57583776;f47ace7fbb22012f488f24b9a2593db9;92127264;6.70;6;APROVADO POR NOTA
57583782;511d0df6f55de7f9c4818636b1535e02;92127264;8.80;0;APROVADO
57583782;511d0df6f55de7f9c4818636b1535e02;92127264;8.80;0;APROVADO
57583782;511d0df6f55de7f9c4818636b1535e02;92127264;8.80;0;APROVADO
57583782;a9d3d9e221caf3b0839aca61fb8ca41b;92127264;8.40;0;APROVADO
57583782;a9d3d9e221caf3b0839aca61fb8ca41b;92127264;8.40;0;APROVADO
57583782;a9d3d9e221caf3b0839aca61fb8ca41b;92127264;8.40;0;APROVADO
57583802;3b2b067e27cf0281368481fea387d1db;92127264;;;EXCLUIDA
57584235;b49b8b207a2d4bf9b21a01b73a0cdb29;92127264;;;INDEFERIDO
57584287;130fa18e7cbe30c714f98937cf94abab;92127264;5.80;2;APROVADO POR NOTA
57584287;130fa18e7cbe30c714f98937cf94abab;92127264;5.80;2;APROVADO POR NOTA
57584287;130fa18e7cbe30c714f98937cf94abab;92127264;5.80;2;APROVADO POR NOTA
57584287;2c1e1a949e4bc66a9eb67c8e3ed1101e;92127264;8.30;8;APROVADO
57584287;2c1e1a949e4bc66a9eb67c8e3ed1101e;92127264;8.30;8;APROVADO
57584287;2c1e1a949e4bc66a9eb67c8e3ed1101e;92127264;8.30;8;APROVADO
57584287;511d0df6f55de7f9c4818636b1535e02;92127264;;;DESISTENCIA
57584287;9442e29605d14cf9859069926ce70e2e;92127264;6.00;8;APROVADO POR NOTA
57584287;9442e29605d14cf9859069926ce70e2e;92127264;6.00;8;APROVADO POR NOTA
57584287;9442e29605d14cf9859069926ce70e2e;92127264;6.00;8;APROVADO POR NOTA
57584287;b06b391213ef9e3897598dec729ae710;92127264;;;DESISTENCIA
57584287;d0cd7ef9faef18c55e6262b416d731e3;92127264;0.00;34;REPROVADO POR MÉDIA E POR FALTAS
57584287;d0cd7ef9faef18c55e6262b416d731e3;92127264;0.00;34;REPROVADO POR MÉDIA E POR FALTAS
57584287;d0cd7ef9faef18c55e6262b416d731e3;92127264;0.00;34;REPROVADO POR MÉDIA E POR FALTAS
57584287;ea17eadf62b6bbae68db4e596f7a7818;92127264;0.70;30;REPROVADO POR MÉDIA E POR FALTAS
57584287;ea17eadf62b6bbae68db4e596f7a7818;92127264;0.70;30;REPROVADO POR MÉDIA E POR FALTAS
57584287;ea17eadf62b6bbae68db4e596f7a7818;92127264;0.70;30;REPROVADO POR MÉDIA E POR FALTAS
57584288;04db5ca11d1ed89498b4eb811dbebe1f;92127264;9.40;8;APROVADO
57584288;04db5ca11d1ed89498b4eb811dbebe1f;92127264;9.40;8;APROVADO
57584288;04db5ca11d1ed89498b4eb811dbebe1f;92127264;9.40;8;APROVADO
