id_turma;codigo_turma;id_docente_interno;id_docente_externo;id_componente_curricular;nivel_ensino;ano;periodo;capacidade_aluno;tipo;qtd_aulas_lancadas;situacao_turma;modalidade_participantes
57560974;1;5755580;;55731;LATO SENSU;2015;2;60;REGULAR;20;CONSOLIDADA;Presencial
57560975;1;5756402;;55770;LATO SENSU;2015;2;60;REGULAR;20;CONSOLIDADA;Presencial
57560976;1;22193;;55743;LATO SENSU;2015;2;60;REGULAR;20;CONSOLIDADA;Presencial
57560977;1;5755386;;55734;LATO SENSU;2015;2;60;REGULAR;20;CONSOLIDADA;Presencial
57560982;1;5755973;;55735;LATO SENSU;2015;2;60;REGULAR;30;CONSOLIDADA;Presencial
57560983;1;;107710909;55730;LATO SENSU;2015;2;60;REGULAR;0;CONSOLIDADA;Presencial
57560984;2;5755386;;55734;LATO SENSU;2015;2;60;REGULAR;20;CONSOLIDADA;Presencial
57560985;2;22193;;55743;LATO SENSU;2015;2;60;REGULAR;20;CONSOLIDADA;Presencial
57561881;1;;110869617;58689;TÉCNICO;2015;2;40;REGULAR;18;CONSOLIDADA;Presencial
57561887;1;;105135549;58805;TÉCNICO;2015;2;40;REGULAR;60;CONSOLIDADA;Presencial
57561904;1;;114924816;56534;TÉCNICO;2015;2;40;REGULAR;33;EXCLUÍDA;Presencial
57561907;1;;115331557;56533;TÉCNICO;2015;2;40;REGULAR;61;CONSOLIDADA;Presencial
57561910;1;;115331557;56531;TÉCNICO;2015;2;40;REGULAR;54;CONSOLIDADA;Presencial
57562092;1;;109607761;57910;TÉCNICO;2015;2;40;REGULAR;44;CONSOLIDADA;Presencial
57562093;1;;109607761;57905;TÉCNICO;2015;2;40;REGULAR;44;CONSOLIDADA;Presencial
57562232;1;5752206;;56846;LATO SENSU;2015;2;;REGULAR;0;CONSOLIDADA;A Distância
57562232;1;;109881913;56846;LATO SENSU;2015;2;;REGULAR;0;CONSOLIDADA;A Distância
57562233;1;;109881913;56847;LATO SENSU;2015;2;;REGULAR;0;CONSOLIDADA;A Distância
57562233;1;5752206;;56847;LATO SENSU;2015;2;;REGULAR;0;CONSOLIDADA;A Distância
57562236;2;5752206;;56846;LATO SENSU;2015;2;;REGULAR;0;CONSOLIDADA;A Distância
57562236;2;;109881876;56846;LATO SENSU;2015;2;;REGULAR;0;CONSOLIDADA;A Distância
57562237;2;;109881876;56847;LATO SENSU;2015;2;;REGULAR;0;CONSOLIDADA;A Distância
57562237;2;5752206;;56847;LATO SENSU;2015;2;;REGULAR;0;CONSOLIDADA;A Distância
57562243;3;;109881811;56846;LATO SENSU;2015;2;;REGULAR;0;CONSOLIDADA;A Distância
57562243;3;5752206;;56846;LATO SENSU;2015;2;;REGULAR;0;CONSOLIDADA;A Distância
57562244;3;;109881811;56847;LATO SENSU;2015;2;;REGULAR;0;CONSOLIDADA;A Distância
57562244;3;5752206;;56847;LATO SENSU;2015;2;;REGULAR;0;CONSOLIDADA;A Distância
57562247;4;5754400;;56846;LATO SENSU;2015;2;;REGULAR;0;CONSOLIDADA;A Distância
57562249;4;5754400;;56847;LATO SENSU;2015;2;;REGULAR;0;CONSOLIDADA;A Distância
57562252;5;5752206;;56846;LATO SENSU;2015;2;;REGULAR;0;CONSOLIDADA;A Distância
57562252;5;;109881669;56846;LATO SENSU;2015;2;;REGULAR;0;CONSOLIDADA;A Distância
