id_turma;codigo_turma;id_docente_interno;id_docente_externo;id_componente_curricular;nivel_ensino;ano;periodo;capacidade_aluno;tipo;qtd_aulas_lancadas;situacao_turma;modalidade_participantes
57581492;1;5753060;;53901;LATO SENSU;2016;2;50;REGULAR;30;CONSOLIDADA;Presencial
57583343;1;5752921;;18815;TÉCNICO;2016;2;30;REGULAR;72;CONSOLIDADA;Presencial
57583344;1;5752917;;18778;TÉCNICO;2016;2;20;REGULAR;34;CONSOLIDADA;Presencial
57583345;1;23400;;18652;TÉCNICO;2016;2;3;REGULAR;57;CONSOLIDADA;Presencial
57583346;2;35466;;18652;TÉCNICO;2016;2;3;REGULAR;51;CONSOLIDADA;Presencial
57583347;3;23400;;18652;TÉCNICO;2016;2;3;REGULAR;54;CONSOLIDADA;Presencial
57583348;4;22886;;18652;TÉCNICO;2016;2;4;REGULAR;54;CONSOLIDADA;Presencial
57583349;1;22886;;18654;TÉCNICO;2016;2;3;REGULAR;48;CONSOLIDADA;Presencial
57583350;2;22886;;18654;TÉCNICO;2016;2;3;REGULAR;48;CONSOLIDADA;Presencial
57583351;3;23400;;18654;TÉCNICO;2016;2;3;REGULAR;57;CONSOLIDADA;Presencial
57583352;1;35466;;18831;TÉCNICO;2016;2;3;REGULAR;;EXCLUÍDA;Presencial
57583353;2;35466;;18831;TÉCNICO;2016;2;3;REGULAR;54;CONSOLIDADA;Presencial
57583354;3;23400;;18831;TÉCNICO;2016;2;3;REGULAR;60;CONSOLIDADA;Presencial
57583355;4;35466;;18831;TÉCNICO;2016;2;3;REGULAR;33;CONSOLIDADA;Presencial
57583356;5;24233;;18831;TÉCNICO;2016;2;3;REGULAR;;EXCLUÍDA;Presencial
57583357;1;5756964;;18809;TÉCNICO;2016;2;31;REGULAR;38;CONSOLIDADA;Presencial
57583358;1;5752179;;18761;TÉCNICO;2016;2;30;REGULAR;30;CONSOLIDADA;Presencial
57583359;2;5752179;;18761;TÉCNICO;2016;2;30;REGULAR;28;CONSOLIDADA;Presencial
57583360;1;5754083;;51735;TÉCNICO;2016;2;15;REGULAR;32;CONSOLIDADA;Presencial
57583361;1;5752878;;18798;TÉCNICO;2016;2;3;REGULAR;57;CONSOLIDADA;Presencial
57583362;2;5758240;;18798;TÉCNICO;2016;2;3;REGULAR;57;CONSOLIDADA;Presencial
57583363;3;5758240;;18798;TÉCNICO;2016;2;3;REGULAR;60;CONSOLIDADA;Presencial
57583364;4;5758240;;18798;TÉCNICO;2016;2;3;REGULAR;54;CONSOLIDADA;Presencial
57583365;5;23477;;18798;TÉCNICO;2016;2;3;REGULAR;57;CONSOLIDADA;Presencial
57583366;6;63717;;18798;TÉCNICO;2016;2;2;REGULAR;45;CONSOLIDADA;Presencial
57583367;7;63717;;18798;TÉCNICO;2016;2;2;REGULAR;51;CONSOLIDADA;Presencial
57583368;8;63717;;18798;TÉCNICO;2016;2;2;REGULAR;51;CONSOLIDADA;Presencial
57583369;9;5758628;;18798;TÉCNICO;2016;2;3;REGULAR;48;CONSOLIDADA;Presencial
57583370;10;24189;;18798;TÉCNICO;2016;2;3;REGULAR;57;CONSOLIDADA;Presencial
57583371;11;5751599;;18798;TÉCNICO;2016;2;3;REGULAR;42;CONSOLIDADA;Presencial
57583372;12;5756964;;18798;TÉCNICO;2016;2;3;REGULAR;57;CONSOLIDADA;Presencial
57583373;13;22889;;18798;TÉCNICO;2016;2;3;REGULAR;57;CONSOLIDADA;Presencial
57583374;14;23014;;18798;TÉCNICO;2016;2;3;REGULAR;51;CONSOLIDADA;Presencial
57583375;15;22886;;18798;TÉCNICO;2016;2;3;REGULAR;54;CONSOLIDADA;Presencial
57583376;16;5752936;;18798;TÉCNICO;2016;2;3;REGULAR;51;CONSOLIDADA;Presencial
57583377;17;5754083;;18798;TÉCNICO;2016;2;3;REGULAR;45;CONSOLIDADA;Presencial
57583378;18;5754083;;18798;TÉCNICO;2016;2;3;REGULAR;51;CONSOLIDADA;Presencial
57583379;19;24200;;18798;TÉCNICO;2016;2;3;REGULAR;60;CONSOLIDADA;Presencial
