nome;ch;código;equivalente;prerequisito;coRequisito;id
FUNDAMENTOS DAS CIÊNCIAS SOCIAIS;36;CJ0001;;;;10000
HISTÓRIA DO DIREITO BRASILEIRO;73;CJ0105;;;;10001
INTRODUÇÃO AO ESTUDO DO DIREITO;73;CJ0003;;;;10002
LÍNGUA PORTUGUESA;36;EL0014;;;;10003
PLANEJAMENTO DE CARREIRA E SUCESSO PROFISSIONAL;36;ST0917;;;;10004
PSICOLOGIA APLICADA AO DIREITO;36;CJ0144;;;;10005
CIÊNCIA POLÍTICA;36;CJ0107 ;;;;10006
DIREITO CIVIL I;73;CJ0006 ;;;;10007
DIREITO PENAL I;73;CJ0007 ;;;;10008
COACHING;36;CE0360;ST0917;;;10009
PORTUGUÊS INSTRUMENTAL I;73;CJ0214;;;;10010
SOCIOLOGIA JURÍDICA E JUDICIÁRIA;36;CJ0145;;;;10011
DIREITO CIVIL II;73;CJ0013 ;;CJ0006;;10012
DIREITO CONSTITUCIONAL I;73;CJ0019 ;;CJ0006 OR CJ0107;;10013
DIREITO PENAL II;73;CJ0032 ;;CJ0007;;10014
ECONOMIA POLÍTICA;36;CJ0143 ;;;;10015
PORTUGUÊS INSTRUMENTAL II;36;CJ0215 ;;CJ0214;;10016
REDAÇÃO INSTRUMENTAL;36;CJ0130 ;;EL0014 AND CJ0214;;10017
DIREITO CIVIL III;73;CJ0014 ;;CJ0013 ;;10018
DIREITO CONSTITUCIONAL II;73;CJ0020 ;;CJ0019 ;;10019
DIREITO DO TRABALHO I;73;CJ0024 ;;;;10020
DIREITO PENAL III;73;CJ0110 ;;CJ0019 OR CJ0032 ;;10021
TEORIA GERAL DO PROCESSO;36;CJ0053;;;;10022
DIREITO CIVIL IV;73;CJ0015;;CJ0014 ;;10023
DIREITO DA CRIANÇA E DO ADOLESCENTE;36;CJ0022 ;;;;10024
DIREITO DO TRABALHO II;73;CJ0132;;CJ0024 ;;10025
DIREITO PENAL IV;73;CJ0034;;CJ0019 ;;10026
DIREITO PROCESSUAL CIVIL I;73;CJ0035;;;;10027
MACROECONOMIA;36;CJ0058 ;CJ0143 ;;;10028
DIREITO CIVIL V;73;CJ0111 ;;CJ0015;;10029
DIREITO PROCESSUAL CIVIL II;73;CJ0036 ;;CJ0035;;10030
DIREITO PROCESSUAL DO TRABALHO;73;CJ0039 ;;;;10031
DIREITO PROCESSUAL PENAL I;73;CJ0040 ;;;;10032
PRÁTICA CIVIL;36;CJ0060 ;CJ0050 ;;;10033
PRÁTICA SIMULADA I;36;CJ0146 ;;;;10034
RESPONSABILIDADE CIVIL;36;CJ0050 ;CJ0060 ;;;10035
DIREITO CIVIL VI - SUCESSÕES;36;CJ0147 ;;;;10036
DIREITO DO CONSUMIDOR;36;CJ0023 ;;;;10037
DIREITO EMPRESARIAL I;73;CJ0133 ;;CJ0143 ;;10038
DIREITO PROCESSUAL CIVIL III;73;CJ0037 ;;CJ0036 ;;10039
DIREITO PROCESSUAL PENAL II;73;CJ0041;;CJ0040 ;;10040
PRÁTICA SIMULADA II (TRABALHO);36;CJ0148;;CJ0146 AND CJ0050 ;CJ0039 ;10041
DIREITO CONSTITUCIONAL AVANÇADO;73;CJ0135 ;;;;10042
DIREITO EMPRESARIAL II;73;CJ0134 ;;CJ0133 ;;10043
DIREITO PROCESSUAL CIVIL IV;73;CJ0038 ;;CJ0037 ;;10044
METODOLOGIA DA PESQUISA;36;CJ0065;;;;10045
FILOSOFIA JURÍDICA;36;CJ0136 ;;;;10046
METODOLOGIA DA PESQUISA EM DIREITO;36;CJ0128;CJ0065;;;10047
PRÁTICA SIMULADA III ( PENAL);36;CJ0149 ;;CJ0146 ;CJ0041;10048
DIREITO ADMINISTRATIVO I;73;CJ0010 ;;;;10049
DIREITO FINANCEIRO E TRIBUTÁRIO I;73;CJ0030 ;;;;10050
DIREITO INTERNACIONAL;73;CJ0056 ;;;;10051
ÉTICA NO DIREITO;36;CJ0074 ;;;;10052
PRÁTICA SIMULADA IV (CÍVEL);36;CJ0150 ;;CJ0146 AND CJ0050 ;CJ0038 ;10053
TÓPICOS INTERDISCIPLINARES;80;CJ0137 ;;;;10054
DIREITO ADMINISTRATIVO II;73;CJ0011 ;;CJ0010 ;;10055
DIREITO AMBIENTAL;36;CJ0012 ;;;;10056
DIREITO FINANCEIRO E TRIBUTÁRIO II;73;CJ0031 ;;CJ0030 ;;10057
ÉTICA GERAL E PROFISSIONAL;36;CJ0152 ;CJ0074;;;10058
PRÁTICA SIMULADA V (CÍVEL);36;CJ0151 ;;CJ0150 ;CJ0011 ;10059
