Codigo;Componente Curricular;natureza
1107007;ALGORITMOS DISTRIBUIDOS;OPTATIVA
1107031;REDES DE ALTA VELOCIDADE;OPTATIVA
1107063;SISTEMAS DISTRIBUIDOS;OPTATIVA
1107064;SEGURANÇA COMPUTACIONAL;OPTATIVA
1107066;INTELIGÊNCIA COMPUTACIONAL;OPTATIVA
1107067;BANCOS DE DADOS NÃO CONVENCIONAIS;OPTATIVA
1107070;TÓPICOS ESPECIAIS EM COMPUTAÇÃO DISTRIBUÍDA III;OPTATIVA
1107073;ESTUDO DIRIGIDO;OPTATIVA
1107090;TÓPICOS ESPECIAIS EM COMPUTAÇÃO DISTRIBUÍDA I;OPTATIVA
1107091;TÓPICOS ESPECIAIS EM COMPUTAÇÃO DISTRIBUÍDA I;OPTATIVA
1107093;TÓPICOS ESPECIAIS EM COMPUTAÇÃO DISTRIBUÍDA II;OPTATIVA
1107094;TÓPICOS ESPECIAIS EM COMPUTAÇÃO DISTRIBUÍDA II;OPTATIVA
1107095;TÓPICOS ESPECIAIS EM COMPUTAÇÃO DISTRIBUÍDA II;OPTATIVA
1107096;TÓPICOS ESPECIAIS EM COMPUTAÇÃO DISTRIBUÍDA III;OPTATIVA
1107097;TÓPICOS ESPECIAIS EM COMPUTAÇÃO DISTRIBUÍDA III;OPTATIVA
1107098;TÓPICOS ESPECIAIS EM COMPUTAÇÃO DISTRIBUÍDA III;OPTATIVA
1107099;TÓPICOS ESPECIAIS EM COMPUTAÇÃO DISTRIBUÍDA IV;OPTATIVA
1107101;TÓPICOS ESPECIAIS EM COMPUTAÇÃO DISTRIBUÍDA IV;OPTATIVA
1107102;TÓPICOS ESPECIAIS EM COMPUTAÇÃO DISTRIBUÍDA IV;OPTATIVA
1107131;PESQUISA OPERACIONAL;OPTATIVA
1107148;TÓPICOS ESPECIAIS EM COMPUTAÇÃO DISTRIBUÍDA I;OPTATIVA
1107149;TÓPICOS ESPECIAIS EM COMPUTAÇÃO DISTRIBUÍDA II;OPTATIVA
1107151;TÓPICOS ESPECIAIS EM COMPUTAÇÃO DISTRIBUÍDA IV;OPTATIVA
1108033;OTIMIZAÇÃO COMBINATÓRIA;OPTATIVA
SINFO0087;TÓPICOS ESPECIAIS EM COMPUTAÇÃO DISTRIBUÍDA I;OPTATIVA
1107019;ENGENHARIA DE SOFTWARE;OBRIGATORIA
1107021;INTELIGENCIA ARTIFICIAL;OBRIGATORIA
1107032;REDES DE COMPUTADORES;OBRIGATORIA
1107034;SISTEMAS MULTIMÍDIA;OBRIGATORIA
1107055;ESTRUTURA DE DADOS E COMPLEXIDADE DE ALGORITMOS;OBRIGATORIA
1107056;ARQUITETURAS DE COMPUTADORES;OBRIGATORIA
1107057;TEORIA DA COMPUTAÇÃO;OBRIGATORIA
SINFO0075;METODOLOGIA DA PESQUISA CIENTÍFICA;OBRIGATORIA
