tipo_componente,codigo,nome,unidade_responsavel,ch_total,equivalencia,pre_requisito,co_requisito
DISCIPLINA,MUT508,COMPOSIÇÃO EM MÚSICA POPULAR III,ESCOLA DE MÚSICA,60,,,
DISCIPLINA,MUT516,CO-REPETIÇÃO,ESCOLA DE MÚSICA,30,,,
DISCIPLINA,MUT520,CONTRABAIXO ACÚSTICO I,ESCOLA DE MÚSICA,30,,,
DISCIPLINA,MUT165,PIANO COMPLEMENTAR I,ESCOLA DE MÚSICA,15,,,
DISCIPLINA,MUT167,PIANO COMPLEMENTAR III,ESCOLA DE MÚSICA,15,,,
DISCIPLINA,MUT169,PIANO COMPLEMENTAR V,ESCOLA DE MÚSICA,15,,,
DISCIPLINA,MUT526,EDIÇÃO DE ÁUDIO III,ESCOLA DE MÚSICA,60,,,
DISCIPLINA,MUT506,COMPOSIÇÃO EM MÚSICA POPULAR I,ESCOLA DE MÚSICA,60,,,
DISCIPLINA,MUT101,CANTO I,ESCOLA DE MÚSICA,45,,,
DISCIPLINA,MUT102,CANTO II,ESCOLA DE MÚSICA,45,,( MUT101 ) ,
DISCIPLINA,MUT103,CANTO III,ESCOLA DE MÚSICA,45,,( MUT102 ) ,
DISCIPLINA,MUT104,CANTO IV,ESCOLA DE MÚSICA,45,,( MUT103 ) ,
DISCIPLINA,MUT105,FLAUTA DOCE I,ESCOLA DE MÚSICA,45,,,
DISCIPLINA,MUT106,FLAUTA DOCE II,ESCOLA DE MÚSICA,45,,,
DISCIPLINA,MUT107,FLAUTA DOCE III,ESCOLA DE MÚSICA,45,,,
DISCIPLINA,MUT108,FLAUTA DOCE IV,ESCOLA DE MÚSICA,45,,,
DISCIPLINA,MUT109,FLAUTA TRANSVERSAL I,ESCOLA DE MÚSICA,45,,,
DISCIPLINA,MUT110,FLAUTA TRANSVERSAL II,ESCOLA DE MÚSICA,45,,,
DISCIPLINA,MUT111,FLAUTA TRANSVERSAL III,ESCOLA DE MÚSICA,45,,,
DISCIPLINA,MUT112,FLAUTA TRANSVERSAL IV,ESCOLA DE MÚSICA,45,,,
DISCIPLINA,MUT113,OBOÉ I,ESCOLA DE MÚSICA,45,,,
DISCIPLINA,MUT114,OBOÉ II,ESCOLA DE MÚSICA,45,,,
DISCIPLINA,MUT115,OBOÉ III,ESCOLA DE MÚSICA,45,,,
DISCIPLINA,MUT116,OBOÉ IV,ESCOLA DE MÚSICA,45,,,
DISCIPLINA,MUT117,CLARINETE I,ESCOLA DE MÚSICA,45,,,
DISCIPLINA,MUT118,CLARINETE II,ESCOLA DE MÚSICA,45,,,
DISCIPLINA,MUT119,CLARINETE III,ESCOLA DE MÚSICA,45,,,
DISCIPLINA,MUT120,CLARINETE IV,ESCOLA DE MÚSICA,45,,,
DISCIPLINA,MUT121,SAXOFONE I,ESCOLA DE MÚSICA,45,,,
DISCIPLINA,MUT122,SAXOFONE II,ESCOLA DE MÚSICA,45,,,
DISCIPLINA,MUT123,SAXOFONE III,ESCOLA DE MÚSICA,45,,,
DISCIPLINA,MUT124,SAXOFONE IV,ESCOLA DE MÚSICA,45,,,
DISCIPLINA,MUT125,TROMPETE I,ESCOLA DE MÚSICA,45,,,
DISCIPLINA,MUT126,TROMPETE II,ESCOLA DE MÚSICA,45,,,
DISCIPLINA,MUT127,TROMPETE III,ESCOLA DE MÚSICA,45,,,
DISCIPLINA,MUT128,TROMPETE IV,ESCOLA DE MÚSICA,45,,,
DISCIPLINA,MUT129,PERCUSSÃO I,ESCOLA DE MÚSICA,45,,,
DISCIPLINA,MUT130,PERCUSSÃO II,ESCOLA DE MÚSICA,45,,,
DISCIPLINA,MUT131,PERCUSSÃO III,ESCOLA DE MÚSICA,45,,,
DISCIPLINA,MUT132,PERCUSSÃO IV,ESCOLA DE MÚSICA,45,,,
DISCIPLINA,MUT133,PIANO I,ESCOLA DE MÚSICA,45,,,
DISCIPLINA,MUT134,PIANO II,ESCOLA DE MÚSICA,45,,,
DISCIPLINA,MUT135,PIANO III,ESCOLA DE MÚSICA,45,,,
DISCIPLINA,MUT136,PIANO IV,ESCOLA DE MÚSICA,45,,,
DISCIPLINA,MUT137,VIOLÃO I,ESCOLA DE MÚSICA,45,,,
DISCIPLINA,MUT138,VIOLÃO II,ESCOLA DE MÚSICA,45,,,
DISCIPLINA,MUT139,VIOLÃO III,ESCOLA DE MÚSICA,45,,,
DISCIPLINA,MUT140,VIOLÃO IV,ESCOLA DE MÚSICA,45,,,
DISCIPLINA,MUT141,VIOLINO I,ESCOLA DE MÚSICA,45,,,
DISCIPLINA,MUT142,VIOLINO II,ESCOLA DE MÚSICA,45,,,
DISCIPLINA,MUT143,VIOLINO III,ESCOLA DE MÚSICA,45,,,
DISCIPLINA,MUT144,VIOLINO IV,ESCOLA DE MÚSICA,45,,,
DISCIPLINA,MUT145,VIOLA I,ESCOLA DE MÚSICA,45,,,
DISCIPLINA,MUT146,VIOLA II,ESCOLA DE MÚSICA,45,,,
DISCIPLINA,MUT147,VIOLA III,ESCOLA DE MÚSICA,45,,,
DISCIPLINA,MUT148,VIOLA IV,ESCOLA DE MÚSICA,45,,,
DISCIPLINA,MUT149,VIOLONCELO I,ESCOLA DE MÚSICA,45,,,
DISCIPLINA,MUT151,VIOLONCELO III,ESCOLA DE MÚSICA,45,,,
DISCIPLINA,MUT152,VIOLONCELO IV,ESCOLA DE MÚSICA,45,,,
DISCIPLINA,MUT153,TROMBONE I,ESCOLA DE MÚSICA,45,,,
DISCIPLINA,MUT154,TROMBONE II,ESCOLA DE MÚSICA,45,,,
DISCIPLINA,MUT155,TROMBONE III,ESCOLA DE MÚSICA,45,,,
DISCIPLINA,MUT156,TROMBONE IV,ESCOLA DE MÚSICA,45,,,
DISCIPLINA,MUT157,GUITARRA ELÉTRICA I,ESCOLA DE MÚSICA,45,,,
DISCIPLINA,MUT158,GUITARRA ELÉTRICA II,ESCOLA DE MÚSICA,45,,,
DISCIPLINA,MUT159,GUITARRA ELÉTRICA III,ESCOLA DE MÚSICA,45,,,
DISCIPLINA,MUT160,GUITARRA ELÉTRICA IV,ESCOLA DE MÚSICA,45,,,
DISCIPLINA,MUT161,REGENCIA I,ESCOLA DE MÚSICA,45,,,
DISCIPLINA,MUT162,REGENCIA II,ESCOLA DE MÚSICA,45,,( MUT161 ) ,
DISCIPLINA,MUT163,REGÊNCIA III,ESCOLA DE MÚSICA,45,,( MUT162 ) ,
DISCIPLINA,MUT164,REGÊNCIA IV,ESCOLA DE MÚSICA,45,,( MUT163 ) ,
DISCIPLINA,MUT724,LABORATÓRIOS ELETIVOS IV,ESCOLA DE MÚSICA,60,,,
DISCIPLINA,MUT800,INSTRUMENTO I,ESCOLA DE MÚSICA,45,( MUT0007 ) OU ( MUT117 ) OU ( MUT520 ) OU ( MUT500 ) OU ( MUT105 ) OU ( MUT109 ) OU ( MUT157 ) OU ( MUT113 ) OU ( MUT129 ) OU ( MUT133 ) OU ( MUT121 ) OU ( MUT153 ) OU ( MUT125 ) OU ( MUT210 ) OU ( MUT145 ) OU ( MUT137 ) OU ( MUT141 ) OU ( MUT149 ) ,,
